medical,simple
Sinus infections are usually diagnosed clinically.,A doctor bases the diagnosis on the typical symptoms.
Small feedings reduce the osmotic load.,"Small, frequent meals are better than fewer, large ones."
Some also present with a watery vaginal discharge or dyspareunia.,They may bleed and become infected. Some women also have a watery discharge.
"Some manifestations are life -threatening or organ -threatening and require immediate treatment: Alveolar hemorrhage; Rapidly progressive glomerulonephritis; Mesenteric ischemia; Vision loss in patients with giant cell arteritis. Small- and medium -sized vasculitides often manifest with skin lesions such as palpable purpura, urticaria, ulcers, livedo reticularis, and nodules.","For example, the following may occur: Skin: A rash of bluish purple spots (hemorrhages) or blotches (purpura), hives, small bumps (nodules), tiny spots (petechiae), mottled discoloration caused by dilated surface blood vessels (livedo reticularis), or sores (ulcers) on the lower legs; Peripheral nerves: Numbness, tingling, or weakness in the affected limb; Brain: Confusion, seizures, and strokes; Digestive tract: Abdominal pain, diarrhea, nausea, vomiting, and blood in the stool; Heart: Angina and heart attacks; Kidneys: High blood pressure, retention of fluid (edema), and kidney dysfunction; Joints: Joint pain or swelling."
Some patients recognize that the hoarding-related beliefs and behaviors are problematic; others do not.,"Some people realize that hoarding is a problem, but many do not."
Some people with bronchiectasis may produce frequent green/yellow sputum (up to 240ml (8 oz) daily).,Some people with bronchiectasis make sputum that is green or pale yellow.
"Some vaccinations can cause fever either in the first 24 to 48 h after the vaccine is given (eg, with pertussis vaccination) or 1 to 2 wk after the vaccine is given (eg, with measles vaccination). These fevers typically last from a few hours to a day. If the child is otherwise well, no evaluation is necessary.","However, some vaccinations can cause a fever even 1 or 2 weeks after the vaccine is given (as with measles vaccination). Children who have a fever when they are scheduled to receive a vaccine can still receive the vaccine if the fever is low and they have no serious illness."
Sometimes CT colonography.,Computed tomography (CT) colonography
Sometimes body composition analysis.,Sometimes determination of body composition.
Sometimes indirect or direct laryngoscopy.,Sometimes direct inspection with a mirror or a viewing tube
Sometimes severe abdominal pain and vomiting occur.,They may have severe abdominal pain and become delirious.
"Soon after onset, nearly half of untreated patients develop multiple, usually smaller annular secondary skin lesions without indurated centers.","In nearly half of people who are not treated, more, usually smaller erythema migrans spots appear on other parts of the body."
"Sore throat, GI symptoms (eg, nausea, vomiting), and hemorrhagic symptoms can occur. Some patients develop dengue hemorrhagic fever.",Dengue hemorrhagic fever is a more severe form of dengue.
"Splenomegaly is occasionally present, especially when the primary cancer is pancreatic.","Occasionally, the spleen is enlarged, especially if the cancer originated in the pancreas."
"Sputum culture is helpful for patients with a possible indolent infection, such as pertussis, TB, or nontuberculous mycobacterial infection.","There, technicians try to grow bacteria in the sample (sputum culture) and use a microscope to check the sample for cancer cells (cytology)."
"Steatorrhea (foul- smelling, pale, bulky, and greasy stools) ranges from mild to severe (7 to 50 g of fat / day).","Diarrhea, often with oily or greasy-appearing stool, is common."
"Sternum deformity pectus carinatum (outward displacement) or pectus excavatum (inward displacement) is common, as are joint hyperextensibility (but usually small flexion contractures to the elbows), genu recurvatum (backward curvature of the legs at the knees), pes planus (flat feet), kyphoscoliosis, and diaphragmatic and inguinal hernias.","Often, the breastbone (sternum) is deformed and pushed outward or inward. The joints may be very flexible. Flat feet, a deformity of the knee joint that causes the knee to bend backward, and a humpback with an abnormal curve of the spine (kyphoscoliosis) are common, as are hernias."
"Subcortical vascular dementia caused by small- vessel ischemic damage (which includes multiple lacunar infarction and Binswanger dementia) tends to cause small, incremental deficits; thus, the decline appears to be gradual.",Dementia that results from many small strokes usually progresses more gradually than that due to a few large strokes. The small strokes may be so subtle that dementia may seem to develop gradually and continuously instead of in steps.
Sweating may be present or absent.,"Sweating may or may not occur, despite the heat."
"Symptoms and signs of food allergies vary by allergen, mechanism, and patient age.",Symptoms of food allergies vary depend on which food causes the allergy and how old the person is.
"Symptoms and signs of vascular dementia are similar to those of other dementias (eg, memory loss, impaired executive function, difficulty initiating actions or tasks, slowed thinking, personality and mood changes, language deficits).","Symptoms of vascular dementia (memory loss, difficulty planning and initiating actions or tasks, slowed thinking, and a tendency to wander) are similar to those of other dementias."
Symptoms are chest tightness and dyspnea that lessen with repeated exposure. Symptoms develop on the first day of work after a weekend or vacation and diminish or disappear by the end of the week.,"Byssinosis may cause wheezing and tightness in the chest, usually on the first day of work after a break. The symptoms tend to diminish after repeated exposure, and the chest tightness may disappear by the end of the workweek."
"Symptoms include a sense of fullness, heaviness, aching, cramps, pain, tiredness, and paresthesias in the legs; these symptoms worsen with standing or walking and are relieved by rest and elevation.","The swelling may not cause any symptoms, but some people feel fullness, heaviness, aching, cramps, pain, tiredness, and tingling in the legs."
"Symptoms may develop during work hours after specific dust or vapor exposure but often do not become apparent until several hours after leaving work, thereby making the association with occupational exposure less obvious.",Symptoms may develop during work hours but often do not start until a few hours after work.
"Symptoms of BPH include a constellation of symptoms that are often progressive, known collectively as lower urinary tract symptoms (LUTS): Urinary frequency; Urgency; Nocturia; Hesitancy; Intermittency.","Benign prostatic hyperplasia first causes symptoms when the enlarged prostate begins to block the flow of urine. Health care providers sometimes use the term lower urinary tract symptoms, or LUTS, to describe the combination of symptoms that BPH can cause."
Symptoms of ectopic pregnancy vary and are often absent until rupture occurs.,Symptoms of ectopic pregnancy vary and may not occur until the structure containing the ectopic pregnancy ruptures.
"Symptoms of encephalitis include fever, headache, and altered mental status, often accompanied by seizures and focal neurologic deficits. Status epilepticus, particularly convulsive status epilepticus, or coma suggests severe brain inflammation and a poor prognosis.",Symptoms of encephalitis include Fever; Headache; Personality changes or confusion; Seizures; Paralysis or numbness; Sleepiness that can progress to coma and death.
"Symptoms of occupational asthma include shortness of breath, chest tightness, wheezing, and cough, often with upper respiratory symptoms such as sneezing, rhinorrhea, and tearing.","Occupational asthma may cause shortness of breath, tightness in the chest, wheezing, and coughing. Sometimes people show signs of allergy to dust at work, with symptoms of sneezing, runny nose, and watery eyes."
Symptoms of postpartum depression may be similar to those of major depression and may include Extreme sadness; Guilt; Uncontrollable crying; Insomnia or increased sleep; Loss of appetite or overeating; Irritability and anger; Headaches and body aches and pains; Extreme fatigue; Unrealistic worries about or disinterest in the baby; A feeling of being incapable of caring for the baby or of being inadequate as a mother; Fear of harming the baby; Suicidal ideation; Anxiety or panic attacks.,Symptoms of postpartum depression may include Extreme sadness; Frequent crying; Mood swings; Irritability and anger. Less common symptoms include Extreme fatigue; Sleep problems (too much or too little); Headaches and body aches; Loss of interest in sex and other activities; Anxiety or panic attacks; Loss of appetite or overeating; Difficulty functioning; Lack of interest in or unreasonable worries about the baby; Feelings of inadequacy or hopelessness; Guilt about having these feelings; Fear of harming the baby; Suicidal thoughts.
"Symptoms of primary coccidioidomycosis, in decreasing order of frequency, include fever, cough, chest pain, chills, sputum production, sore throat, and hemoptysis.","They include a cough, fever, chills, chest pain, and sometimes shortness of breath. The cough may produce sputum."
Symptoms usually become apparent in patients during their 30s or 40s; severe problems appear about a decade later.,Heavy drinkers usually first develop symptoms during their 30s or 40s and tend to develop severe problems about 10 years after symptoms first appear.
"Symptoms usually peak within 10 min and dissipate within minutes thereafter, leaving little for a physician to observe.","Symptoms usually peak within 10 minutes and disappear within minutes, leaving little for a doctor to observe except the person 's fear of another terrifying attack."
Systemic corticosteroids are effective but should be used only as a last resort because they can worsen an occult infection.,Corticosteroids taken by mouth are effective but are given only as a last resort because they can worsen an underlying infection even if one has not been identified.
Teething does not cause significant or prolonged fevers.,Teething does not typically cause fever over 101° F.
"The Truman Show delusion, informally known as Truman Syndrome, is a type of persecutory/grandiose delusion in which patients believe their lives are staged plays or reality television shows.",The Truman Show delusion is a delusion some people have.
The ability to tolerate a given level of anxiety varies from person to person. Anxiety disorders can be so distressing and disruptive that depression may result.,Anxiety disorders can be so distressing and interfere so much with a person 's life that they can lead to depression.
"The area expands, often with clearing between the center and periphery resembling a bull's eye, to a diameter 50 cm. Darkening erythema may develop in the center, which may be hot to the touch and indurated.","Usually, the spot slowly expands to a diameter of up to 20 inches (50 centimeters), often clearing in the center. For example, the center may remain red, or several rings may appear around the red center (looking like a bull 's eye or target)."
"The classic sign of IPF is fine, dry, inspiratory crackles (Velcro crackles) at both bases. The remainder of the examination is normal until disease is advanced, at which time signs of pulmonary hypertension and right ventricular systolic dysfunction may develop.","Strain on the heart may cause the right ventricle to enlarge, eventually resulting in right-sided heart failure. Through a stethoscope, doctors often hear crackling sounds in the lungs."
"The diagnosis should be suspected when respiratory distress develops after chest trauma, particularly when symptoms worsen gradually.","Doctors suspect a pulmonary contusion when people become short of breath after a chest injury, especially if shortness of breath develops gradually."
"The incidence of visual disturbances has declined over the past 5 decades, and rates of recovery have improved, likely because giant cell arteritis is recognized and treated before visual disturbances develop.","Over the past 50 years, the number of visual disturbances has gone down while recovery rates have gone up, most likely because giant cell arteritis is diagnosed earlier and treated before the eyes are affected."
"The lesion slowly enlarges, often ulcerates, and may spread to other skin areas. Lesions heal slowly, with scarring.","The sores slowly enlarge and spread to nearby tissue, causing further damage. Sores heal slowly and may result in permanent scarring."
"The most common manifestation in infants is atopic dermatitis alone or with gastrointestinal (GI) symptoms (eg, nausea, vomiting, diarrhea).","In infants, the first symptom of a food allergy may be a rash such as eczema (atopic dermatitis) or a rash that resembles hives. The rash may be accompanied by nausea, vomiting, and diarrhea."
The most common types of dementia are Alzheimer disease; Vascular dementia; Lewy body dementia; Frontotemporal dementias; HIV -associated dementia.,"Most commonly, dementia is Alzheimer disease, a primary brain disorder. Other common types of dementia include Vascular dementia; Lewy body dementia; Frontotemporal dementia (such as Pick disease); Human immunodeficiency virus (HIV) related dementia."
"The next most common manifestations, in decreasing order of frequency, are inflammation of the Eye (eg, conjunctivitis, scleritis, iritis, keratitis, chorioretinitis); Cartilaginous tissue of the larynx, trachea, or bronchi (causing hoarseness, cough, and tenderness over the laryngeal cartilage); Internal ear; Cardiovascular system (eg, aortic regurgitation, mitral regurgitation, pericarditis, myocarditis, aortic aneurysms, aortitis); Kidney; Skin.","Other affected sites include the eyes, resulting in inflammation. Rarely, the cornea may develop a hole (perforation), resulting in blindness. The voice box (larynx), windpipe (trachea), or airways of the lungs can be affected, resulting in hoarseness, a nonproductive cough, shortness of breath, and tenderness over the Adam's apple. Less often, the heart is involved, leading to heart murmurs and occasionally to heart failure. Rarely, the kidneys are affected."
"The pain is paroxysmal, lasting seconds up to 2 min, but attacks may recur rapidly.",The pain usually lasts seconds but may last up to 2 minutes.
The pain usually is worse between 60° and 120° (painful arc of motion) of shoulder abduction or flexion and is usually minimal or absent at < 60° or > 120°.,Pain is worse when lifting the arm between 60 and 120 degrees away from the side.
"The reverse rate k-1 was found to increase by a factor of 53 going from cyclohexane to methanol, while the equilibrium constant Keq decreased by a factor of 140.",The forward rate k1 was found to decrease by a factor of 4.5 going from cyclohexane to methanol.
The severity of stage 1 symptoms usually reflects the overall severity of poisoning; late- stage symptoms develop only if stage 1 symptoms are moderate or severe.,"Stage 1 (within 6 hours after the overdose): Symptoms include vomiting, vomiting blood, diarrhea, abdominal pain, irritability, and drowsiness. If poisoning is very serious, rapid breathing, a rapid heart rate, coma, unconsciousness, seizures, and low blood pressure may develop."
"The urethra, which is the last part of the urinary tract, traverses the corpus spongiosum, and its opening, known as the meatus / miËËeÉªtÉs /, lies on the tip of the glans penis.","The urethra, the tube where urine and semen travel through, runs down the corpus spongiosum (spongy tissue), and opens at the tip of the penis."
There are a number of less common causes (see table Some Causes of Scrotal Pain).,"There are a number of less common causes. Less common causes include A hernia in the groin (inguinal hernia); Infection of the testis (orchitis), usually caused by mumps or another virus; Pain from a disorder in the abdomen (such as a kidney stone or appendicitis); Injury. Dangerous disorders that sometimes cause scrotal pain include a ruptured abdominal aortic aneurysm and necrotizing infection of the perineum the area between the genitals and anus called Fournier gangrene."
"There are a variety of risk factors, including male gender, depression, and a high intelligence quotient. Schizophrenia and smoking have shown a strong association in studies worldwide.",20 to 40 percent try to kill themselves at least once. Schizophrenia and smoking have shown a strong association in studies worldwide.
"Third, for some color blind people, color can only be distinguished if there is a sufficient `` mass '' of color: thin lines might appear black, while a thicker line of the same color can be perceived as having color. Designers should also note that red-blue and yellow-blue color combinations are generally safe.","Thirdly, for some color blind people, color can only be distinguished if there is enough color: thin lines might appear black, but a thicker line of the same color can be seen in the correct color."
"Thus, they may be more aware of their deficits, and depression may be more common than in other dementias.","Thus, people may be more aware of their losses and more prone to depression than people with other types of dementia."
"To avoid having a bowel movement, children may tighten the external sphincter muscles, pushing the stool higher in the rectal vault. If this behavior is repeated, the rectum stretches to accommodate the retained stool. The urge to defecate is then decreased, and the stool becomes harder, leading to a vicious circle of painful defecation and worsened constipation. Occasionally, soft stool passes around the impacted stool and leads to stool incontinence (encopresis). Anal fissures cause pain with stool passage, leading to a similar vicious circle of delayed bowel movements, resulting in harder stool that is more painful to pass.","If children do not move their bowels when the natural urge comes, the rectum eventually stretches to accommodate the stool. When the rectum has stretched, the urge to have a BM lessens, and more and more stool accumulates and hardens. A vicious circle of worsening constipation may result. If the accumulated stool hardens, it sometimes blocks the passage of other stool condition called fecal impaction. Looser stool from above the hardened stool may leak around the impaction into the child 's underwear and lead to stool incontinence (encopresis)."
"Tonsillopharyngitis is usually viral, most often caused by the common cold viruses (adenovirus, rhinovirus, influenza, coronavirus, and respiratory syncytial virus), but occasionally by Epstein-Barr virus, herpes simplex virus, cytomegalovirus, or HIV.","Tonsillopharyngitis is usually caused by a virus. Most often, it is one of the viruses that cause the common cold, such as rhinovirus, adenovirus, influenza virus, or respiratory syncytial virus. Less often, another virus is involved, such as the Epstein-Barr virus (which causes mononucleosis) or human immunodeficiency virus (HIV)."
"Treatment includes bed rest, elevation, cool compresses, and NSAIDs.",Leg elevation and cool compresses Nonsteroidal anti-inflammatory drugs (NSAIDs) for pain
Treatment of associated infections Treatment of underlying disorder,Treatment of the cause. Treatment of lymphocytopenia depends mainly on the cause. Lymphocytopenia caused by a drug usually begins to resolve within days after a person stops taking the drug.
Treatment of underlying disorder,Treatment of cause
"Typical features include a bizarre, puppet- like gait, facial grimacing, inability to intentionally move the eyes quickly without blinking or head thrusting (oculomotor apraxia), and inability to sustain a motor act (motor impersistence), such as tongue protrusion or grasping.","Muscles may contract briefly and rapidly, causing the arms or another body part to suddenly jerk, sometimes several times in a row. People may walk in a lilting or exaggeratedly jaunty way, like a puppet. They may grimace, flick the limbs, and blink more often. Movements become uncoordinated and slow."
Undernutrition and vitamin A deficiency may predispose to mortality.,Undernutrition and vitamin A deficiency may increase the risk of death in people infected with measles.
"Undernutrition may lead to multiple vitamin deficiencies (eg, of folate and thiamin), enlarged parotid glands, and white nails.","Salivary glands in the cheeks may enlarge, and muscles may waste away."
"Unfortunately, in these settings, attention is often focused on general medical symptoms, and the correct diagnosis sometimes is not made.","If the correct diagnosis of panic attack is not made, they may have the additional worry that a serious medical problem has been overlooked."
"Untreated disseminated coccidioidomycosis is usually fatal and, if meningitis is present, is uniformly fatal without prolonged and possibly lifelong treatment.","Coccidioides can also infect the brain and the tissues covering the brain (meninges), causing meningitis. This infection is often chronic, causing headaches, confusion, loss of balance, double vision, and other problems. Untreated meningitis is always fatal."
"Up to 20 % of bone density loss occurs during the first 5 yr after menopause. After this period of rapid bone loss, the age-related rate of bone loss in women is similar to that in men.","During the first 5 years after menopause, bone density decreases rapidly. After that, it decreases at about the same rate as it does in men (by about 1 to 3 % each year)."
Upper airway and conjunctival symptoms may precede the typical symptoms of asthma by months or years.,These allergy symptoms may be present for months or years before shortness of breath and other breathing symptoms develop.
"Usually, children present with a firm, palpable mass or with organ dysfunction due to impingement on the organ by the cancer. Orbital and nasopharyngeal cancers may cause tearing, eye pain, or proptosis. Nasopharyngeal cavity cancers may cause nasal congestion, a change in voice, or mucopurulent discharge. Genitourinary cancers cause abdominal pain, a palpable abdominal mass, difficulty urinating, and hematuria. Extremity cancers appear as firm, indiscrete masses anywhere on the arms or legs.","In most children, the first evidence of the cancer is a firm lump or problems related to an organ affected by the cancer, such as the following: Eyes: Tearing, eye pain, or a bulging eye; Nose and throat: Nasal congestion, a change in the voice, or a nasal discharge that contains mucus and pus; Genital or urinary tract: Abdominal pain, a lump in the abdomen that can be felt, difficulty urinating, and blood in the urine; Limbs: Firm lumps on the arms or legs."
"Variola major has a 10- to 12-day incubation period (range 7 to 17 days), followed by a 2- to 3-day prodrome of fever, headache, backache, and extreme malaise.","Symptoms of the severe form usually begin 7 to 17 days after infection. Infected people develop fever, headache, and backache and feel extremely ill."
"Variola minor results in symptoms that are similar but much less severe, with a less extensive rash. Mortality rate is < 1 %.","In the less severe form, symptoms are similar but much less severe. The rash is much less extensive, and fewer than 1 % of people die."
"Viral meningitis, like acute bacterial meningitis, usually begins with symptoms that suggest viral infection (eg, fever, myalgias, gastrointestinal or respiratory symptoms), followed by symptoms and signs of meningitis (headache, fever, nuchal rigidity). Manifestations tend to resemble those of bacterial meningitis but are usually less severe (eg, nuchal rigidity may be less pronounced). However, findings are sometimes severe enough to suggest acute bacterial meningitis.","Viral meningitis usually begins with symptoms of a viral infection, such as fever, a general feeling of illness (malaise), cough, muscle aches, vomiting, loss of appetite, and headache. However, occasionally, people have no symptoms at first. Later, people have symptoms that suggest meningitis. That is, they typically have fever, headache, and a stiff neck."
"Wet-tail is a stress related illness such stress can be caused by a variety of factors, including: Too much handling Change in environment Change in diet Extremely unclean caging Being away from mother and/or siblings Illness or death of a pair-bond or mate Improper caging The symptoms may not appear for several days.",The stress can be caused by: Too much handling Change in environment Change in diet Inadequate cage cleaning Being away from mother and/or siblings Death of a mate The symptoms may not appear for several days.
"When food allergy persists in older children and adults, the reactions tend to be more severe (eg, explosive urticaria, angioedema, even anaphylaxis).","In adults, food allergies cause itching in the mouth, hives, eczema, swelling (angioedema), and, occasionally, a runny nose and asthma."
"When symptoms occur, they usually include irregular vaginal bleeding, which is most often postcoital but may occur spontaneously between menses.","The first symptom of cervical cancer is usually abnormal bleeding from the vagina, most often after sexual intercourse."
"When the cause is a renal cancer, its signs (eg, hematuria, weight loss) predominate.","In other people, urine production diminishes."
"With repeated exposure over a period of years, chest tightness tends to return and persist through midweek and occasionally to the end of the week or as long as the person continues to work.","However, after a person has worked with cotton for many years, the chest tightness may last for 2 or 3 workdays or even the whole week."
"Without therapy, erythema migrans typically fades within 3 to 4 weeks.",The spot usually disappears after about 3 to 4 weeks.
"Without treatment, the temperature rises in steps over 2 to 3 days, remains elevated (usually 39.4 to 40° C) for another 10 to 14 days, begins to fall gradually at the end of the 3rd wk, and reaches normal levels during the 4th wk.","After a few days, the temperature peaks at about 103 to 104° F (39 to 40° C), remains high for another 10 to 14 days, and returns to normal during the fourth week after symptoms started."
Women often have a long history of pruritus.,Many women have had itching in the vulvar area for a long time.
"The authors remark that the reaction appears to be influenced by the polarity of the solvent, and this can be explained by the change in the dipole moments when going from reactant to transition state to product.","The authors say that the reaction appears to be influenced by the polarity of the solvent, and this can be shown by the change in the dipole moments when going from reactant to transition state to product."
"In his account Morrell writes that he was `` destitute of the various nautical and mathematical instruments '', although other parts of his narrative seem to indicate that the occasional dead reckoning calculation was the exception to the norm.","In his account Morrell writes that he was `` destitute of the various nautical and mathematical instruments '', but other parts of his narrative make it clear that the occasional dead reckoning calculation was the exception to the norm."
"Electroreception is found in lampreys, cartilaginous fishes ( sharks, rays, chimaeras ), lungfishes, bichirs, coelacanths, sturgeons, paddlefishes, catfishes, gymnotiformes, elephantfishes, monotremes, and at least one species of cetacean.","Electroreception is found in lampreys, cartilaginous fishes ( sharks, rays, chimaeras ), lungfishes, bichirs, coelacanths, sturgeons, catfishes, gymnotiformes, monotremes, and at least one species of cetacean."
"Photochemical [ 1,3 ] shifts should proceed through suprafacial shifts; however, most are non-concerted because they proceed through a triplet state ( i.e., have a diradical mechanism, to which the Woodward-Hoffmann rules do not apply ).","Photochemical [ 1,3 ] shifts should be suprafacial shifts; however, most are non-concerted because they proceed through a triplet state ( that is, they have a diradical mechanism, to which the Woodward-Hoffmann rules do not apply )."
"It was viewed as an attractive agent because: it is easy to aerosolize it is highly infective; between 10 and 50 bacteria are sufficient to infect victims it is nonpersistent and easy to decontaminate ( unlike anthrax ) it is highly incapacitating to infected persons it has comparatively low lethality, which is useful where enemy soldiers are in proximity to noncombatants, e.g.","It was viewed as an attractive agent because: it is easy to aerosolize it is highly infective; 10-50 bacteria are required to infect it is non-persistent and easy to decontaminate ( unlike anthrax ) it is highly incapacitating to infected persons it has low lethality, which is useful where enemy soldiers are in proximity to non-combatants, e.g."
"( Wikiversity ) ReefQuest Centre for Shark Research Electrolocation on Scholarpedia Video clips of Gnathonemus, Apteronotus, and Ameiurus Electroreception in fish, amphibians and monotremes Map of Life, University of Cambridge","Lateral line Electric fish ReefQuest Centre for Shark Research Electrolocation on Scholarpedia Video clips of Gnathonemus, Apteronotus, and Ameiurus Electroreception in fish, amphibians and monotremes Map of Life, University of Cambridge"
"Since then, the term `` regression '' has taken on a variety of meanings, and it may be used by modern statisticians to describe phenomena of sampling bias which have little to do with Galton 's original observations in the field of genetics.","Since then, the term `` regression '' has taken on different meanings, and it may be used by modern statisticians to describe phenomena of sampling bias which have little to do with Galton 's original observations in the field of genetics."
"By Foley 's account, Billington manhandled him so badly in the ring that he could n't eat solid food for a time, and tore a ligament in Foley 's jaw with his trademark Hook Clothesline.","He said that Billington had manhandled him so badly in the ring that he could n't eat solid food for a time, and Billington had tore a ligament in Foley 's jaw with his trademark Hook Clothesline move."
"Modern medicine, both conventional and alternative, recognizes that the different rheumatic disorders have different causes ( and several of them have multiple causes ) and require different kinds of treatment.","Modern medicine, both conventional and complementary, shows that the different rheumatic disorders have different causes ( and several of them have more than one ) and need different kinds of treatment."
"In this system, particular proteins are targeted for destruction by the ligation of at least four copies of a small peptide called ubiquitin onto a substrate protein.","In the ATP-dependent ubiquitin/proteasome pathway, particular proteins are targeted for destruction by the ligation of at least four copies of a small peptide called ubiquitin onto a substrate protein."
"Treatment for cerebrovascular disease may include medication, lifestyle changes and/or surgery, depending on the cause. Examples of medications are: antiplatelets ( aspirin, clopidogrel ) blood thinners ( heparin, warfarin ) antihypertensives ( ACE inhibitors, beta blockers ) anti-diabetic medications.Surgical procedures include: endovascular surgery and vascular surgery ( for future stroke prevention ).","Treatment for cerebrovascular disease includes medication, lifestyle changes and surgery. Examples of medications are: Antiplatelets ( Aspirin, Clopidogrel ) Blood thinners ( Heparin, Warfarin ) Antihypertensives ( ACE inhibitors, Beta blockers ) Anti-diabetic medicationsSurgical procedures include: Endovascular surgery and Vascular surgery ( for future stroke prevention )."
"Treatment for cerebrovascular disease may include medication, lifestyle changes and/or surgery, depending on the cause.Examples of medications are: antiplatelets ( aspirin, clopidogrel ) blood thinners ( heparin, warfarin ) antihypertensives ( ACE inhibitors, beta blockers ) anti-diabetic medications.Surgical procedures include: endovascular surgery and vascular surgery ( for future stroke prevention ).","Treatment for cerebrovascular disease includes medication, lifestyle changes and surgery.Examples of medications are: Antiplatelets ( Aspirin, Clopidogrel ) Blood thinners ( Heparin, Warfarin ) Antihypertensives ( ACE inhibitors, Beta blockers ) Anti-diabetic medicationsSurgical procedures include: Endovascular surgery and Vascular surgery ( for future stroke prevention ) Walter Cronkite, American news journalist."
"Lung tumors are neoplastic tumors of the lung These include : Primary tumors of the lung/pulmonary system : Bronchial leiomyoma , a rare , benign tumor Lung cancer , the term commonly used to refer to carcinoma of the lung Pulmonary carcinoid tumor Pleuropulmonary blastoma Neuroendocrine tumors of the lung Lymphomas of the lung .","Some lung tumors are : Bronchial leiomyoma , a rare , benign tumor Lung cancer , the term commonly used to refer to carcinoma of the lung Pulmonary carcinoid tumor Pleuropulmonary blastoma Neuroendocrine tumors of the lung Lymphomas of the lung ."
Lacunar infarcts ( LACI ) are small ( 0.2 to 15 mm in diameter ) noncortical ( does not affect cerebral cortex ) infarcts caused by the occlusion of a single penetrating branch of a larger blood vessel that provides blood to the brain 's deep structures including the white matter .,Lacunar infarcts ( LACI ) are small ( 0.2 to 15 mm in diameter ) noncortical ( does not happen in the cerebral cortex ) stroke caused by the blockage of a single penetrating branch of a larger blood vessel that brings blood to the inside parts of the brain including the white matter .
"A silent stroke typically affects regions of the brain associated with various thought processes, mood regulation and cognitive functions and is a leading cause of vascular cognitive impairment and may also lead to a loss of urinary bladder control.","A silent stroke usually happens in parts of the brain that control different thought processes, mood regulation and cognitive functions and is a leading cause of vascular cognitive impairment and may also lead to a loss of urinary bladder control."
"As a consequence patients suffer from perpetual shortness of breath.In some patients the specific cause of the disease can be diagnosed , but in others the probable cause can not be determined , a condition called idiopathic pulmonary fibrosis .","As a result patients suffer from shortness of breath.In some patients the cause of the disease can be diagnosed , but in others the cause is unknown , a condition called idiopathic pulmonary fibrosis ."
"Supportive care is recommended, and symptomatic treatment of fever and joint swelling includes the use of nonsteroidal anti-inflammatory drugs such as naproxen, non-aspirin analgesics such as paracetamol ( acetaminophen ) and fluids.","For example, they may treat fever and joint pain with nonsteroidal anti-inflammatory drugs ( NSAIDs ) like naproxen; painkillers like paracetamol ( acetaminophen ); and fluids."
"Feelings of embarrassment, shame, frustration, fear, anger, and guilt are frequent in people who stutter, and may actually increase tension and effort, leading to increased stuttering.","These people may feel embarrassment, shame, frustration, fear, anger, and guilt. These feelings may increase stress and effort making the person stammer more."
It may affect a small and localized group or impact upon thousands of people across an entire continent.,An outbreak can affect a small group or affect thousands of people across the world.
"Schizophrenia affects around 0.3-0.7 % of people at some point in their life, or 24 million people worldwide as of 2011.","As of 2011, schizophrenia affects around 0.3 % to 0.7 % of people, or 24 million people worldwide, at some point in their lives."
"After serving in the Royal Flying Corps during the First World War, he maintained his reputation when cricket resumed in 1919, but his career was threatened by appendicitis, which caused him to miss most of the 1921 season.","After the war, Hobbs was again successful against Australia, but his career was threatened by appendicitis which caused him to miss most of the 1921 season."
"The term prostatitis refers, in its strictest sense, to histological ( microscopic ) inflammation of the tissue of the prostate gland.","The term prostatitis refers in its strictest sense to histological ( microscopic ) inflammation of the tissue of the prostate gland, although historically the term has loosely been used as a rubric to describe a set of quite different conditions."
"Laboratory rats have also proved valuable in psychological studies of learning and other mental processes ( Barnett, 2002 ), as well as to understand group behavior and overcrowding ( with the work of John B. Calhoun on behavioral sink ).","Laboratory rats have also proved valuable in psychological studies of learning and other mental processes ( Barnett, 2002 )."
Lower urinary tract infection is also referred to as a bladder infection.,"In the lower urinary tract, it is known as a simple cystitis ( a bladder infection )."
"True sigmatropic reactions are usually uncatalyzed, although Lewis acid catalysis is possible.",Some sigmatropic reactions are catalyzed by a Lewis acid.
Psychological trauma is a type of damage to the mind that occurs as a result of a severely distressing event.,Psychological trauma is damage to the psyche that happens after a stressful event.
The cough is usually mild compared to that accompanying influenza.,The cough caused by a cold is usually mild compared to a cough caused by the flu ( influenza ).
"Antibiotics taken by mouth such as trimethoprim/sulfamethoxazole ( TMP/SMX ), nitrofurantoin, or fosfomycin are typically first line.","Oral antibiotics such as trimethoprim/sulfamethoxazole ( TMP/SMX ), cephalosporins, nitrofurantoin, or a fluoroquinolone will shorten the time to recovery."
"Fractional distillation is the separation of a mixture into its component parts, or fractions.",Fractional distillation is a process of separating a mixture of chemical compounds.
"In 836, when Lu Chun was appointed as governor of Canton, he was disgusted to find Chinese living with foreigners and intermarriage between Chinese and foreigners.","The Han Chinese disliked the Uighurs because they loaned money for interest. In 836, when Lu Chun was appointed governor of Canton, he was disgusted to find Chinese living with foreigners and marrying them."
"Parkinson 's disease is a neurodegenerative disease whose primary symptoms are tremor, rigidity, bradykinesia, and postural instability.","Parkinson 's disease is a neurological syndrome characterized by tremor, hypokinesia, rigidity, and postural instability."
"It may result in a goiter, sometimes as an endemic goiter as well as cretinism due to untreated congenital hypothyroidism, which results in developmental delays and other health problems.","This causes iodine deficiency which gives rise to goiter ( so-called endemic goiter ), as well as cretinism, which results in developmental delays and other health problems."
