medical,simple
The patient has a diagnosis of atrial fibrillation.,The patient has an irregular heartbeat (atrial fibrillation).
The lab results indicated hypocalcemia.,The lab results showed low calcium levels in the blood (hypocalcemia).
The patient has been prescribed a diuretic.,The patient has been given medicine to help remove excess water from the body (diuretic).
The endoscopy revealed peptic ulcers.,The internal examination showed sores in the stomach lining (peptic ulcers).
He was diagnosed with deep vein thrombosis.,He has a blood clot in a deep vein (deep vein thrombosis).
The patient was diagnosed with essential hypertension.,The patient has high blood pressure with no known cause (essential hypertension).
The patient has a history of myocardial infarction.,The patient has had a heart attack before (myocardial infarction).
The patient has peripheral neuropathy.,The patient has nerve damage causing pain and numbness in the limbs (peripheral neuropathy).
She has a diagnosis of osteoarthritis.,She has joint pain and stiffness (osteoarthritis).
She presented with symptoms of hypothyroidism.,She came in with signs of an underactive thyroid (hypothyroidism).
The child presented with symptoms of croup.,The child showed signs of a respiratory infection causing a barking cough (croup).
She was diagnosed with systemic lupus erythematosus.,She has an autoimmune disease affecting multiple organs (systemic lupus erythematosus).
He was treated for a pulmonary embolism.,He was treated for a blood clot in the lungs (pulmonary embolism).
The patient has a history of congestive heart failure.,The patient has had heart failure before (congestive heart failure).
He was diagnosed with chronic renal insufficiency.,He has long-term kidney problems (chronic renal insufficiency).
She has a history of transient ischemic attacks.,She has had mini-strokes before (transient ischemic attacks).
He was given an antihistamine for his allergic reaction.,He was given medicine to relieve allergy symptoms (antihistamine).
The patient has been prescribed a bronchodilator.,The patient has been given medicine to open up the airways in the lungs (bronchodilator).
The patient was treated for acute pancreatitis.,The patient was treated for inflammation of the pancreas (acute pancreatitis).
The infant was diagnosed with neonatal jaundice.,The newborn has yellowing of the skin due to high bilirubin (neonatal jaundice).
He suffers from irritable bowel syndrome.,He has a condition causing stomach pain and bowel problems (irritable bowel syndrome).
The echocardiogram showed mitral valve prolapse.,The heart ultrasound showed a problem with one of the heart valves (mitral valve prolapse).
The blood test indicated hyperkalemia.,The blood test showed high levels of potassium (hyperkalemia).
The patient was diagnosed with benign prostatic hyperplasia.,The patient has an enlarged prostate (benign prostatic hyperplasia).
The biopsy revealed malignant cells.,The biopsy showed cancerous cells (malignant cells).
The radiograph showed a pneumothorax.,The X-ray showed a collapsed lung (pneumothorax).
The patient has hyperlipidemia.,The patient has high cholesterol (hyperlipidemia).
The patient has a diagnosis of atrial fibrillation.,The patient has an irregular heartbeat (atrial fibrillation).
The lab results indicated hypocalcemia.,The lab results showed low calcium levels in the blood (hypocalcemia).
The patient has been prescribed a diuretic.,The patient has been given medicine to help remove excess water from the body (diuretic).
The endoscopy revealed peptic ulcers.,The internal examination showed sores in the stomach lining (peptic ulcers).
The patient was diagnosed with essential hypertension.,The patient has high blood pressure with no known cause (essential hypertension).
The patient has a history of myocardial infarction.,The patient has had a heart attack before (myocardial infarction).
The patient has peripheral neuropathy.,The patient has nerve damage causing pain and numbness in the limbs (peripheral neuropathy).
The patient was treated for deep vein thrombosis.,The patient was treated for a blood clot in a deep vein (deep vein thrombosis).
He was given an antihistamine for his allergic reaction.,He was given medicine to relieve allergy symptoms (antihistamine).
The patient has hyperthyroidism.,The patient has an overactive thyroid (hyperthyroidism).
The patient has a diagnosis of atrial fibrillation.,The patient has an irregular heartbeat (atrial fibrillation).
She presented with tachycardia and hypertension.,She came in with a fast heartbeat (tachycardia) and high blood pressure (hypertension).
He suffers from chronic obstructive pulmonary disease.,He has a lung disease that makes it hard to breathe (chronic obstructive pulmonary disease).
The patient has been prescribed a bronchodilator.,The patient has been given medicine to open up the airways in the lungs (bronchodilator).
The patient was treated for acute pancreatitis.,The patient was treated for inflammation of the pancreas (acute pancreatitis).
The infant was diagnosed with neonatal jaundice.,The newborn has yellowing of the skin due to high bilirubin (neonatal jaundice).
He suffers from irritable bowel syndrome.,He has a condition causing stomach pain and bowel problems (irritable bowel syndrome).
The echocardiogram showed mitral valve prolapse.,The heart ultrasound showed a problem with one of the heart valves (mitral valve prolapse).
The blood test indicated hyperkalemia.,The blood test showed high levels of potassium (hyperkalemia).
The patient was diagnosed with benign prostatic hyperplasia.,The patient has an enlarged prostate (benign prostatic hyperplasia).
The biopsy revealed malignant cells.,The biopsy showed cancerous cells (malignant cells).
The radiograph showed a pneumothorax.,The X-ray showed a collapsed lung (pneumothorax).
The patient has hyperlipidemia.,The patient has high cholesterol (hyperlipidemia).
The patient has a diagnosis of atrial fibrillation.,The patient has an irregular heartbeat (atrial fibrillation).
The lab results indicated hypocalcemia.,The lab results showed low calcium levels in the blood (hypocalcemia).
The patient has been prescribed a diuretic.,The patient has been given medicine to help remove excess water from the body (diuretic).
The endoscopy revealed peptic ulcers.,The internal examination showed sores in the stomach lining (peptic ulcers).
The patient was diagnosed with essential hypertension.,The patient has high blood pressure with no known cause (essential hypertension).
The patient has a history of myocardial infarction.,The patient has had a heart attack before (myocardial infarction).
The patient has peripheral neuropathy.,The patient has nerve damage causing pain and numbness in the limbs (peripheral neuropathy).
The patient was treated for deep vein thrombosis.,The patient was treated for a blood clot in a deep vein (deep vein thrombosis).
He was given an antihistamine for his allergic reaction.,He was given medicine to relieve allergy symptoms (antihistamine).
The patient has hyperthyroidism.,The patient has an overactive thyroid (hyperthyroidism).
The patient has a diagnosis of atrial fibrillation.,The patient has an irregular heartbeat (atrial fibrillation).
She presented with tachycardia and hypertension.,She came in with a fast heartbeat (tachycardia) and high blood pressure (hypertension).
He suffers from chronic obstructive pulmonary disease.,He has a lung disease that makes it hard to breathe (chronic obstructive pulmonary disease).
The patient has been prescribed a bronchodilator.,The patient has been given medicine to open up the airways in the lungs (bronchodilator).
The patient was treated for acute pancreatitis.,The patient was treated for inflammation of the pancreas (acute pancreatitis).
The infant was diagnosed with neonatal jaundice.,The newborn has yellowing of the skin due to high bilirubin (neonatal jaundice).
He suffers from irritable bowel syndrome.,He has a condition causing stomach pain and bowel problems (irritable bowel syndrome).
The echocardiogram showed mitral valve prolapse.,The heart ultrasound showed a problem with one of the heart valves (mitral valve prolapse).
The blood test indicated hyperkalemia.,The blood test showed high levels of potassium (hyperkalemia).
The patient was diagnosed with benign prostatic hyperplasia.,The patient has an enlarged prostate (benign prostatic hyperplasia).
The biopsy revealed malignant cells.,The biopsy showed cancerous cells (malignant cells).
The radiograph showed a pneumothorax.,The X-ray showed a collapsed lung (pneumothorax).
The patient has hyperlipidemia.,The patient has high cholesterol (hyperlipidemia).
The patient has a diagnosis of atrial fibrillation.,The patient has an irregular heartbeat (atrial fibrillation).
The lab results indicated hypocalcemia.,The lab results showed low calcium levels in the blood (hypocalcemia).
The patient has been prescribed a diuretic.,The patient has been given medicine to help remove excess water from the body (diuretic).
The endoscopy revealed peptic ulcers.,The internal examination showed sores in the stomach lining (peptic ulcers).
The patient was diagnosed with essential hypertension.,The patient has high blood pressure with no known cause (essential hypertension).
The patient has a history of myocardial infarction.,The patient has had a heart attack before (myocardial infarction).
The patient has peripheral neuropathy.,The patient has nerve damage causing pain and numbness in the limbs (peripheral neuropathy).
The patient was treated for deep vein thrombosis.,The patient was treated for a blood clot in a deep vein (deep vein thrombosis).
He was given an antihistamine for his allergic reaction.,He was given medicine to relieve allergy symptoms (antihistamine).
The patient has hyperthyroidism.,The patient has an overactive thyroid (hyperthyroidism).
The patient has a diagnosis of atrial fibrillation.,The patient has an irregular heartbeat (atrial fibrillation).
She presented with tachycardia and hypertension.,She came in with a fast heartbeat (tachycardia) and high blood pressure (hypertension).
He suffers from chronic obstructive pulmonary disease.,He has a lung disease that makes it hard to breathe (chronic obstructive pulmonary disease).
The patient was diagnosed with atrial fibrillation.,The patient was diagnosed with atrial fibrillation (an irregular heartbeat).
She underwent a cholecystectomy.,She underwent a cholecystectomy (gallbladder removal surgery).
He presented with dyspnea on exertion.,He had shortness of breath when exercising.
The infant has neonatal jaundice.,The newborn has yellowing of the skin and eyes.
The patient is experiencing myocardial infarction.,The patient is having a heart attack.
She was prescribed an antibiotic for her otitis media.,She was given medicine for her middle ear infection.
He has a history of chronic obstructive pulmonary disease.,He has a long-term lung disease that makes it hard to breathe.
The doctor noted erythema and swelling.,The doctor observed redness and swelling.
She is experiencing dysmenorrhea.,She has painful menstrual cramps.
The treatment plan includes cognitive behavioral therapy.,The treatment plan includes talking therapy to change behavior and thoughts.
He has a benign prostatic hyperplasia.,He has an enlarged prostate gland.
The patient presented with tachycardia.,The patient had a fast heart rate.
She underwent a lumbar puncture.,She had a spinal tap.
The patient was treated for acute renal failure.,The patient was treated for sudden kidney failure.
He has a peptic ulcer disease.,He has sores in the lining of his stomach or upper intestine.
The patient experienced syncope.,The patient fainted.
She was diagnosed with gestational diabetes.,She was diagnosed with diabetes that develops during pregnancy.
He has a cerebrovascular accident.,He had a stroke.
The patient has a history of hyperlipidemia.,The patient has a history of high cholesterol.
She presented with severe hypoglycemia.,She had dangerously low blood sugar levels.
He underwent a coronary artery bypass graft.,He had heart surgery to improve blood flow to the heart.
The patient was treated for deep vein thrombosis.,The patient was treated for a blood clot in a deep vein.
She is experiencing polyuria.,She is urinating more often than usual.
The child has been diagnosed with attention deficit hyperactivity disorder.,"The child has been diagnosed with ADHD, which affects concentration and behavior."
He has a diagnosis of rheumatoid arthritis.,He has a type of arthritis that causes pain and swelling in the joints.
The patient has undergone a hysterectomy.,The patient has had surgery to remove her uterus.
She has a history of gastroesophageal reflux disease.,She has a history of chronic acid reflux.
The patient was prescribed a diuretic.,The patient was given medicine to help remove excess water from the body.
He presented with cyanosis.,He had a bluish color to his skin due to lack of oxygen.
She has been diagnosed with bipolar disorder.,She has a mental health condition that causes extreme mood swings.
The patient experienced angina pectoris.,The patient had chest pain due to reduced blood flow to the heart.
He has been diagnosed with chronic kidney disease.,He has long-term damage to his kidneys.
She is being treated for hypothyroidism.,She is being treated for an underactive thyroid.
The patient underwent a colonoscopy.,The patient had a procedure to examine the inside of the colon.
He presented with hematuria.,He had blood in his urine.
She is experiencing hyperemesis gravidarum.,She has severe nausea and vomiting during pregnancy.
The patient has a history of ischemic heart disease.,The patient has a history of heart problems due to narrowed arteries.
He was diagnosed with obstructive sleep apnea.,He was diagnosed with a condition where breathing stops and starts during sleep.
She underwent a bilateral salpingo-oophorectomy.,She had surgery to remove both ovaries and fallopian tubes.
The patient has been diagnosed with chronic bronchitis.,The patient has a long-term inflammation of the airways in the lungs.
He presented with jaundice.,He had yellowing of the skin and eyes.
She is experiencing menorrhagia.,She has abnormally heavy or prolonged menstrual periods.
The patient was diagnosed with a herniated disc.,The patient has a slipped disc in the spine.
He is being treated for hypertensive crisis.,He is being treated for extremely high blood pressure.
She presented with epistaxis.,She had a nosebleed.
The patient was diagnosed with osteoarthritis.,The patient has a type of arthritis that affects the joints.
He has a diagnosis of chronic pancreatitis.,He has long-term inflammation of the pancreas.
She is experiencing vertigo.,She feels like the room is spinning.
The patient was treated for acute appendicitis.,The patient was treated for a sudden inflammation of the appendix.
He has a history of Barrett's esophagus.,He has a condition where the lining of the esophagus changes due to acid reflux.
She was diagnosed with systemic lupus erythematosus.,"She was diagnosed with lupus, a disease where the immune system attacks the body."
The patient has a history of atrial flutter.,The patient has a type of abnormal heart rhythm.
He is experiencing hyperkalemia.,He has high levels of potassium in his blood.
She presented with urolithiasis.,She has kidney stones.
The patient was treated for a pneumothorax.,The patient was treated for a collapsed lung.
He has a diagnosis of celiac disease.,He has an immune reaction to eating gluten.
She underwent a mastectomy.,She had surgery to remove a breast.
The patient has a history of venous insufficiency.,The patient has a condition where the veins have trouble sending blood back to the heart.
He presented with dysphagia.,He had difficulty swallowing.
She is experiencing bradycardia.,She has a slow heart rate.
The patient was diagnosed with acute pancreatitis.,The patient was diagnosed with sudden inflammation of the pancreas.
He has a history of diverticulitis.,He has a condition where small pouches in the colon become inflamed.
She presented with cellulitis.,She had a bacterial skin infection.
The patient was diagnosed with ulcerative colitis.,The patient has a condition causing inflammation and sores in the colon.
He has a diagnosis of chronic sinusitis.,He has long-term inflammation of the sinuses.
She underwent an angioplasty.,She had a procedure to open blocked blood vessels.
The patient presented with hematochezia.,The patient had blood in the stool.
He has been diagnosed with hyperthyroidism.,He has an overactive thyroid.
She is experiencing alopecia areata.,She has a condition that causes hair loss.
The patient has a history of mitral valve prolapse.,The patient has a condition where the valve between the heart's chambers doesn't close properly.
He presented with hypothermia.,He had dangerously low body temperature.
She was diagnosed with fibromyalgia.,She has a condition causing widespread pain and fatigue.
The patient underwent a nephrectomy.,The patient had surgery to remove a kidney.
He has a history of gout.,"He has a type of arthritis that causes severe pain, redness, and tenderness in joints."
She presented with pruritus.,She had severe itching.
The patient was diagnosed with encephalitis.,The patient has inflammation of the brain.
He has a history of myocardial ischemia.,"He has a condition where blood flow to the heart is reduced, preventing the heart muscle from getting enough oxygen."
She underwent a thyroidectomy.,She had surgery to remove all or part of her thyroid gland.
The patient presented with dyspepsia.,The patient had indigestion.
He has been diagnosed with peripheral artery disease.,He has narrowed arteries reducing blood flow to his limbs.
She is experiencing hemoptysis.,She is coughing up blood.
The patient was diagnosed with ankylosing spondylitis.,The patient has a type of arthritis that causes inflammation in the spine.
He has a history of benign paroxysmal positional vertigo.,He has a condition that causes brief episodes of dizziness.
She presented with photophobia.,She had sensitivity to light.
The patient was diagnosed with endometriosis.,The patient has a condition where tissue similar to the lining inside the uterus grows outside the uterus.
He has been diagnosed with schizophrenia.,"He has a mental disorder that affects how a person thinks, feels, and behaves."
She underwent a laminectomy.,She had surgery to remove part of the vertebra to relieve pressure on the spinal cord.
The patient presented with esophageal varices.,The patient had swollen veins in the esophagus.
He has a history of thrombophlebitis.,He has inflammation of a vein due to a blood clot.
She presented with xerostomia.,She had dry mouth.
The patient was diagnosed with vitiligo.,The patient has a condition where skin loses its pigment.
He has a history of peptic ulcer disease.,He has sores in the lining of his stomach or small intestine.
She is experiencing amenorrhea.,She has missed menstrual periods.
The patient was treated for pneumonia.,The patient was treated for an infection in the lungs.
He has a history of cardiomegaly.,He has an enlarged heart.
She presented with hyperhidrosis.,She had excessive sweating.
The patient was diagnosed with bursitis.,The patient has inflammation of the fluid-filled sacs in the joints.
He has a history of esophagitis.,He has inflammation of the esophagus.
She underwent an oophorectomy.,She had surgery to remove one or both ovaries.
The patient presented with strabismus.,The patient had crossed eyes.
He has a history of multiple sclerosis.,He has a disease that affects the brain and spinal cord.
She is experiencing tenosynovitis.,She has inflammation of the tendon sheath.
The patient was diagnosed with pharyngitis.,The patient has a sore throat.
He has a history of chronic fatigue syndrome.,He has a condition that causes extreme tiredness.
She presented with pyelonephritis.,She had a kidney infection.
The patient was diagnosed with pancreatitis.,The patient has inflammation of the pancreas.
He has a history of retinopathy.,He has damage to the retina of the eye.
She is experiencing dysmenorrhea.,She has painful menstrual periods.
The patient was treated for conjunctivitis.,The patient was treated for pink eye.
He has a history of Bell's palsy.,He has a condition causing sudden weakness in the muscles on one side of the face.
She presented with nephrolithiasis.,She has kidney stones.
The patient was diagnosed with macular degeneration.,The patient has a condition that affects the central part of the retina and leads to vision loss.
He has a history of chronic hepatitis.,He has long-term inflammation of the liver.
She underwent a cystoscopy.,She had a procedure to examine the inside of the bladder.
The patient presented with sialadenitis.,The patient had inflammation of the salivary glands.
He has a history of Addison's disease.,He has a disorder where the adrenal glands don't produce enough hormones.
She presented with dyspnea.,She had difficulty breathing.
The patient was diagnosed with osteomyelitis.,The patient has an infection in the bone.
He has a history of tinnitus.,He has ringing in the ears.
She presented with diplopia.,She had double vision.
The patient was diagnosed with anemia.,The patient has a condition where there are not enough healthy red blood cells to carry oxygen.
He has a history of blepharitis.,He has inflammation of the eyelids.
She underwent a laparotomy.,She had surgery to open the abdomen.
The patient presented with pleurisy.,The patient had inflammation of the tissues around the lungs.
He has a history of peripheral neuropathy.,He has damage to the nerves outside the brain and spinal cord.
She is experiencing dysuria.,She has pain when urinating.
The patient was diagnosed with pyelonephritis.,The patient has a kidney infection.
He has a history of narcolepsy.,He has a condition that causes sudden attacks of sleep.
She presented with polycystic ovary syndrome.,She has a hormonal disorder causing enlarged ovaries with cysts.
The patient was diagnosed with multiple myeloma.,The patient has a type of cancer that affects plasma cells in the bone marrow.
He has a history of hyperparathyroidism.,He has a condition where the parathyroid glands produce too much hormone.
She presented with trichomoniasis.,She has a sexually transmitted infection caused by a parasite.
The patient was diagnosed with hidradenitis suppurativa.,The patient has a skin condition causing painful bumps under the skin.
He has a history of chronic prostatitis.,He has long-term inflammation of the prostate gland.
She presented with polymyalgia rheumatica.,She has an inflammatory disorder causing muscle pain and stiffness.
The patient was diagnosed with myasthenia gravis.,The patient has a condition causing weakness in the voluntary muscles.
He has a history of Paget's disease of bone.,He has a condition that disrupts the normal cycle of bone renewal.
She presented with onychomycosis.,She has a fungal infection of the nails.
The patient was diagnosed with acute lymphoblastic leukemia.,The patient has a type of cancer affecting the white blood cells.
He has a history of pheochromocytoma.,He has a rare tumor of the adrenal gland.
She presented with leukoplakia.,She has white patches in the mouth.
The patient was diagnosed with Creutzfeldt-Jakob disease.,"The patient has a rare, degenerative brain disorder."
He has a history of neurofibromatosis.,He has a genetic disorder causing tumors to form on nerve tissue.
She presented with glossitis.,She has inflammation of the tongue.
The patient was diagnosed with transient ischemic attack.,The patient had a mini-stroke.
He has a history of von Willebrand disease.,He has a bleeding disorder caused by a deficiency of a blood-clotting protein.
She presented with hydrocephalus.,She has a condition where fluid builds up in the brain.
The patient was diagnosed with Sjogren's syndrome.,The patient has an autoimmune disease causing dry eyes and mouth.
He has a history of Marfan syndrome.,He has a genetic disorder affecting the connective tissue.
She presented with acromegaly.,She has a condition where the body produces too much growth hormone.
The patient was diagnosed with sarcoidosis.,The patient has a disease causing inflammation in various organs.
He has a history of hereditary hemochromatosis.,He has a genetic condition causing the body to absorb too much iron.
She presented with hypertrophic cardiomyopathy.,She has a condition where the heart muscle becomes abnormally thick.
The patient was diagnosed with cystic fibrosis.,The patient has a genetic disorder affecting the lungs and digestive system.
He has a history of sickle cell anemia.,He has a genetic disorder where red blood cells become misshapen and break down.
She presented with Duchenne muscular dystrophy.,She has a genetic disorder causing muscle degeneration.
The patient was diagnosed with Kawasaki disease.,The patient has a rare condition causing inflammation in blood vessels.
He has a history of Tay-Sachs disease.,He has a genetic disorder affecting nerve cells in the brain and spinal cord.
She presented with Wilson's disease.,She has a genetic disorder causing excess copper in the body.
The patient was diagnosed with Niemann-Pick disease.,The patient has a genetic disorder affecting lipid metabolism.
He has a history of Addisonian crisis.,He has a sudden and severe lack of adrenal hormones.
She presented with Guillain-Barre syndrome.,She has a condition where the immune system attacks the nerves.
The patient was diagnosed with retinitis pigmentosa.,The patient has a genetic disorder causing loss of vision.
He has a history of Wernicke-Korsakoff syndrome.,He has a brain disorder caused by a lack of vitamin B1.
She presented with congenital adrenal hyperplasia.,She has a genetic disorder affecting the adrenal glands.
The patient was diagnosed with Huntington's disease.,The patient has a genetic disorder causing the progressive breakdown of nerve cells in the brain.
He has a history of Prader-Willi syndrome.,"He has a genetic disorder causing physical, mental, and behavioral problems."
She presented with Turner syndrome.,"She has a genetic disorder affecting females, causing short stature and lack of ovarian development."
The patient was diagnosed with Fragile X syndrome.,The patient has a genetic condition causing intellectual disability.
He has a history of Klinefelter syndrome.,"He has a genetic condition affecting males, causing low testosterone and infertility."
She presented with Angelman syndrome.,She has a genetic disorder causing developmental disabilities and neurological problems.
The patient was diagnosed with Ehlers-Danlos syndrome.,The patient has a group of genetic disorders affecting the connective tissues.
He has a history of hereditary angioedema.,He has a genetic condition causing severe swelling.
She presented with phenylketonuria.,She has a genetic disorder where the body can't break down a certain amino acid.
The patient was diagnosed with glycogen storage disease.,The patient has a group of disorders affecting how the body stores and uses glycogen.
He has a history of hemophilia.,He has a genetic disorder causing problems with blood clotting.
She presented with Rett syndrome.,She has a rare genetic disorder affecting brain development in girls.
The patient was diagnosed with galactosemia.,The patient has a genetic disorder affecting how the body processes a sugar called galactose.
He has a history of muscular dystrophy.,He has a group of genetic diseases causing muscle weakness and loss.
She presented with osteogenesis imperfecta.,She has a genetic disorder causing brittle bones.
The patient was diagnosed with spinal muscular atrophy.,The patient has a genetic disorder affecting the control of muscle movement.
He has a history of maple syrup urine disease.,He has a genetic disorder affecting how the body breaks down certain amino acids.
She presented with tuberous sclerosis.,She has a genetic disorder causing non-cancerous tumors to grow in many parts of the body.
The patient was diagnosed with X-linked agammaglobulinemia.,The patient has a genetic disorder causing a lack of antibodies.
He has a history of lysosomal storage disease.,He has a group of genetic disorders affecting the body's ability to break down certain substances.
She presented with hypohidrotic ectodermal dysplasia.,"She has a genetic disorder affecting the development of skin, hair, nails, teeth, and sweat glands."
The patient was diagnosed with epidermolysis bullosa.,The patient has a group of genetic conditions causing fragile skin that blisters easily.
He has a history of Beckwith-Wiedemann syndrome.,He has a genetic disorder causing overgrowth of tissues and organs.
She presented with Cornelia de Lange syndrome.,She has a genetic disorder causing developmental delays and physical abnormalities.
The patient was diagnosed with type 2 diabetes mellitus.,The patient was diagnosed with type 2 diabetes (a condition where blood sugar levels are too high).
He had a myocardial infarction (heart attack) which required angioplasty.,He had a heart attack (myocardial infarction) that needed a procedure to open blocked arteries (angioplasty).
She presented with signs of acute bronchitis.,She showed signs of acute bronchitis (inflammation of the bronchial tubes).
The patient is being treated with anticoagulants to prevent deep vein thrombosis.,The patient is taking blood thinners (anticoagulants) to prevent blood clots in the veins (deep vein thrombosis).
He was given a prescription for an antibiotic to treat his pneumonia.,He was prescribed antibiotics to treat his pneumonia (lung infection).
The doctor recommended a biopsy to determine the nature of the tumor.,The doctor suggested taking a tissue sample (biopsy) to find out more about the tumor.
She has been diagnosed with hyperlipidemia.,She has high cholesterol levels (hyperlipidemia).
The patient had a cerebrovascular accident (stroke) and needed rehabilitation.,The patient had a stroke (cerebrovascular accident) and needed therapy to recover.
"The patient’s blood pressure was elevated, indicating hypertension.",The patient had high blood pressure (hypertension).
He was diagnosed with chronic obstructive pulmonary disease (COPD).,He was diagnosed with COPD (a lung disease that makes breathing difficult).
The patient required intubation due to respiratory failure.,The patient needed a breathing tube (intubation) because of respiratory failure.
She was administered an analgesic for her pain.,She was given a painkiller (analgesic) for her pain.
The doctor prescribed an antipyretic to reduce fever.,The doctor gave a fever reducer (antipyretic) to lower her fever.
He has been experiencing tachycardia.,He has been having a fast heart rate (tachycardia).
The patient was diagnosed with gastroesophageal reflux disease (GERD).,The patient has GERD (a condition where stomach acid flows back into the esophagus).
He was treated with an intravenous line for fluid resuscitation.,He received fluids through a vein (IV line) to rehydrate him.
The patient has a history of atrial fibrillation.,The patient has a history of irregular heartbeats (atrial fibrillation).
The patient was advised to follow a low-sodium diet to manage hypertension.,The patient was told to eat less salt (low-sodium diet) to control high blood pressure (hypertension).
He was diagnosed with osteoarthritis and prescribed NSAIDs for pain relief.,He has osteoarthritis (joint pain) and was given anti-inflammatory drugs (NSAIDs) for pain relief.
She underwent a mammogram to screen for breast cancer.,She had a mammogram (breast X-ray) to check for breast cancer.
The patient was treated with an inhaler to manage his asthma.,The patient used an inhaler to control his asthma.
He had a hysterectomy to remove his uterus.,He had surgery to remove his uterus (hysterectomy).
She was diagnosed with anemia and prescribed iron supplements.,She has anemia (low iron) and was given iron pills (iron supplements).
The doctor recommended a colonoscopy to screen for colon cancer.,The doctor suggested a colonoscopy (colon exam) to check for colon cancer.
He had a cerebrovascular accident (stroke) and is currently undergoing physical therapy.,He had a stroke (cerebrovascular accident) and is doing physical therapy to recover.
The patient was given a beta-blocker to manage his heart condition.,The patient took a beta-blocker to treat his heart condition.
She had a seizure and was given anticonvulsants.,She had a seizure and was given medication to prevent more seizures (anticonvulsants).
The doctor prescribed a proton pump inhibitor to treat her acid reflux.,The doctor gave a medicine (proton pump inhibitor) to treat her acid reflux.
He was diagnosed with chronic kidney disease (CKD).,He has chronic kidney disease (CKD) (long-term kidney damage).
She was given an antiemetic to control her nausea.,She was given a medicine to prevent vomiting (antiemetic).
The patient had a pulmonary embolism and was started on anticoagulants.,The patient had a blood clot in the lung (pulmonary embolism) and was started on blood thinners (anticoagulants).
He was treated with a diuretic to reduce fluid buildup.,He was given a water pill (diuretic) to help reduce fluid retention.
She had a laminectomy to relieve pressure on her spinal cord.,She had surgery to remove part of her spine bone (laminectomy) to relieve pressure on her spinal cord.
The patient was diagnosed with benign prostatic hyperplasia (BPH).,The patient has an enlarged prostate (benign prostatic hyperplasia).
He has a history of myocardial infarction (heart attack).,He has had a heart attack (myocardial infarction).
She was prescribed an antidepressant for her depression.,She was given an antidepressant to treat her depression.
The doctor diagnosed him with sleep apnea.,The doctor said he has sleep apnea (a condition where breathing stops and starts during sleep).
The patient was given an antihistamine for his allergies.,The patient took an allergy medicine (antihistamine) for his allergies.
He had a PET scan to check for cancer spread.,He had a PET scan (a type of imaging test) to see if cancer has spread.
The doctor recommended a bone density test to check for osteoporosis.,The doctor suggested a bone scan to check for weak bones (osteoporosis).
She was diagnosed with psoriasis and prescribed a topical steroid.,She has psoriasis (a skin condition) and was given a steroid cream to treat it.
He had a cystoscopy to examine his bladder.,He had a test (cystoscopy) to look inside his bladder.
The patient was treated with intravenous antibiotics for his infection.,The patient got antibiotics through a vein (IV) to treat his infection.
She was diagnosed with endometriosis and prescribed hormonal therapy.,She has endometriosis (a condition where tissue grows outside the uterus) and was given hormones to treat it.
The patient exhibited signs of tachycardia and hypertension.,The patient had a fast heart rate (tachycardia) and high blood pressure (hypertension).
He was diagnosed with myocardial infarction and prescribed anticoagulants.,He had a heart attack (myocardial infarction) and was given blood thinners (anticoagulants).
The radiograph revealed a comminuted fracture of the femur.,The X-ray showed a broken thigh bone (comminuted fracture of the femur) with multiple pieces.
She underwent a laparoscopic cholecystectomy.,She had her gallbladder removed through a small cut (laparoscopic cholecystectomy).
The patient has a history of COPD and requires bronchodilators.,The patient has chronic lung disease (COPD) and needs medication to open the airways (bronchodilators).
"The blood test showed elevated levels of bilirubin, indicating jaundice.","The blood test showed high levels of a yellow substance (bilirubin), indicating jaundice."
He presented with severe dyspnea and orthopnea.,He had trouble breathing (dyspnea) and could only breathe comfortably when sitting up (orthopnea).
The biopsy confirmed the presence of adenocarcinoma.,The tissue sample test showed a type of cancer (adenocarcinoma).
The patient was treated with a combination of beta-blockers and ACE inhibitors.,The patient was given medications to lower blood pressure and protect the heart (beta-blockers and ACE inhibitors).
The ultrasound revealed a large ovarian cyst.,The scan showed a large fluid-filled sac on her ovary (ovarian cyst).
She was diagnosed with type 2 diabetes mellitus and started on metformin.,She was diagnosed with type 2 diabetes and started on medication to control blood sugar (metformin).
The ECG showed atrial fibrillation.,The heart test showed an irregular heartbeat (atrial fibrillation).
He was administered intravenous fluids and analgesics.,He was given fluids through a vein (intravenous fluids) and painkillers (analgesics).
The MRI scan revealed a herniated disc in the lumbar spine.,The scan showed a slipped disc in the lower back (herniated disc).
The patient presented with symptoms of gastroesophageal reflux disease (GERD).,The patient had symptoms of acid reflux (GERD).
She was advised to take a diuretic for her edema.,She was told to take a water pill (diuretic) for her swelling (edema).
The pathology report indicated a benign neoplasm.,The tissue test showed a non-cancerous growth (benign neoplasm).
He underwent coronary artery bypass grafting.,He had surgery to improve blood flow to his heart (coronary artery bypass grafting).
The patient experienced a transient ischemic attack (TIA).,The patient had a mini-stroke (transient ischemic attack).
The patient was diagnosed with acute appendicitis and required an appendectomy.,The patient had a sudden inflammation of the appendix and needed surgery to remove it (appendectomy).
She exhibited signs of hyperglycemia and was prescribed insulin therapy.,She had high blood sugar (hyperglycemia) and was given insulin shots.
The patient has a history of atrial septal defect repair.,The patient had surgery to fix a hole in the heart (atrial septal defect repair).
He was given a prophylactic antibiotic before the surgery.,He was given an antibiotic to prevent infection before the surgery.
The patient developed deep vein thrombosis (DVT) in the left leg.,The patient had a blood clot in a deep vein of the left leg (DVT).
